sk_local,uf,municipio,br,km,regional,delegacia,uop
2387,BA,LENCOIS,242,367.0,SPRF-BA,DEL06-BA,UOP01-DEL06-BA
2388,BA,ARACI,116,320.0,SPRF-BA,DEL02-BA,UOP01-DEL02-BA
2389,RO,PORTO VELHO,425,18.0,SPRF-RO,DEL01-RO,UOP03-DEL01-RO
2390,MA,SANTA LUZIA,222,406.0,SPRF-MA,DEL02-MA,UOP01-DEL02-MA
2391,CE,CANINDE,20,369.0,SPRF-CE,DEL02-CE,UOP01-DEL02-CE
2392,MG,CONGONHAL,459,0.0,SPRF-MG,DEL09-MG,UOP01-DEL09-MG
2393,MG,JOAO PINHEIRO,40,196.0,SPRF-MG,DEL14-MG,UOP02-DEL14-MG
2394,MG,MATHIAS LOBATO,116,375.0,SPRF-MG,DEL06-MG,UOP01-DEL06-MG
2395,RJ,CASIMIRO DE ABREU,101,205.0,SPRF-RJ,DEL08-RJ,UOP04-DEL08-RJ
2396,MG,ITAPEVA,381,0.0,SPRF-MG,DEL16-MG,UOP03-DEL16-MG
2397,RJ,PARAIBA DO SUL,393,186.0,SPRF-RJ,DEL05-RJ,UOP03-DEL05-RJ
2398,MG,PARACATU,40,81.0,SPRF-MG,DEL14-MG,UOP01-DEL14-MG
2399,MG,ITAGUARA,381,567.0,SPRF-MG,DEL04-MG,UOP03-DEL04-MG
2400,MG,MONTE ALEGRE DE MINAS,365,0.0,SPRF-MG,DEL15-MG,UOP03-DEL15-MG
2401,MG,CURVELO,40,402.0,SPRF-MG,DEL02-MG,UOP01-DEL02-MG
2402,PR,CEU AZUL,277,635.0,SPRF-PR,DEL05-PR,UOP02-DEL05-PR
2403,MT,GUARANTA DO NORTE,163,1110.0,SPRF-MT,DEL06-MT,UOP03-DEL06-MT
2404,PI,OEIRAS,230,199.0,SPRF-PI,DEL04-PI,UOP01-DEL04-PI
2405,SC,BIGUACU,101,0.0,SPRF-SC,DEL01-SC,UOP02-DEL01-SC
2406,SC,NAVEGANTES,470,4.0,SPRF-SC,DEL04-SC,UOP04-DEL04-SC
2407,PR,TIBAGI,153,0.0,SPRF-PR,DEL03-PR,UOP02-DEL03-PR
2408,MG,MONTE ALEGRE DE MINAS,153,58.0,SPRF-MG,DEL15-MG,UOP03-DEL15-MG
2409,MA,SAO RAIMUNDO DAS MANGABEIRAS,230,336.0,SPRF-MA,DEL05-MA,UOP01-DEL05-MA
2410,MA,GRAJAU,226,401.0,SPRF-MA,DEL06-MA,UOP01-DEL06-MA
2411,RS,CANOAS,116,266.0,SPRF-RS,DEL01-RS,UOP01-DEL01-RS
2412,MG,CAETE,381,415.0,SPRF-MG,DEL01-MG,UOP01-DEL01-MG
2413,RS,ELDORADO DO SUL,290,109.0,SPRF-RS,DEL02-RS,UOP01-DEL02-RS
2414,PR,PARANAVAI,376,104.0,SPRF-PR,DEL09-PR,UOP02-DEL09-PR
2415,SC,SAO JOSE,101,208.0,SPRF-SC,DEL01-SC,UOP01-DEL01-SC
2416,RS,CARAZINHO,285,340.0,SPRF-RS,DEL08-RS,UOP03-DEL08-RS
2417,PB,JOAO PESSOA,230,17.0,SPRF-PB,DEL01-PB,UOP01-DEL01-PB
2418,AL,POCO DAS TRINCHEIRAS,316,0.0,SPRF-AL,DEL03-AL,UOP02-DEL03-AL
2419,SC,CAPIVARI DE BAIXO,101,0.0,SPRF-SC,DEL02-SC,UOP01-DEL02-SC
2420,RJ,PARACAMBI,116,216.0,SPRF-RJ,DEL06-RJ,UOP02-DEL06-RJ
2421,MA,IMPERATRIZ,10,274.0,SPRF-MA,DEL04-MA,UOP01-DEL04-MA
2422,PR,PIRAQUARA,116,0.0,SPRF-PR,DEL01-PR,UOP02-DEL01-PR
2423,SC,GASPAR,470,42.0,SPRF-SC,DEL04-SC,UOP01-DEL04-SC
2424,PR,ORTIGUEIRA,376,349.0,SPRF-PR,DEL07-PR,UOP02-DEL07-PR
2425,RJ,MANGARATIBA,101,428.0,SPRF-RJ,DEL03-RJ,UOP02-DEL03-RJ
2426,PR,SANTA LUCIA,163,152.0,SPRF-PR,DEL05-PR,UOP05-DEL05-PR
2427,SC,ITAPEMA,116,146.0,SPRF-SC,DEL06-SC,UOP02-DEL06-SC
2428,MG,UBERABA,50,179.0,SPRF-MG,DEL13-MG,UOP01-DEL13-MG
2429,MT,DIAMANTINO,163,0.0,SPRF-MT,DEL01-MT,UOP01-DEL01-MT
2430,MG,PATOS DE MINAS,367,380.0,SPRF-MG,DEL11-MG,UOP02-DEL11-MG
2431,MG,JOAO PINHEIRO,40,211.0,SPRF-MG,DEL14-MG,UOP02-DEL14-MG
2432,RS,BAGE,153,635.0,SPRF-RS,DEL11-RS,UOP03-DEL11-RS
2433,SC,TROMBUDO CENTRAL,470,163.0,SPRF-SC,DEL04-SC,UOP02-DEL04-SC
2434,TO,PORTO NACIONAL,10,431.0,SPRF-TO,DEL01-TO,UOP03-DEL01-TO
2435,RJ,DUQUE DE CAXIAS,40,123.0,SPRF-RJ,DEL01-RJ,UOP02-DEL01-RJ
2436,PR,LAPA,476,184.0,SPRF-PR,DEL01-PR,UOP06-DEL01-PR
2437,SP,NOVA GRANADA,153,30.0,SPRF-SP,DEL09-SP,UOP01-DEL09-SP
2438,RN,MOSSORO,304,28.0,SPRF-RN,DEL04-RN,UOP02-DEL04-RN
2439,RO,ARIQUEMES,364,453.0,SPRF-RO,DEL03-RO,UOP02-DEL03-RO
2440,MT,SORRISO,163,776.0,SPRF-MT,DEL06-MT,UOP02-DEL06-MT
2441,RS,SAO VICENTE DO SUL,287,0.0,SPRF-RS,DEL12-RS,UOP02-DEL12-RS
2442,PI,GEMINIANO,407,439.0,SPRF-PI,DEL04-PI,UOP01-DEL04-PI
2443,PR,PALMEIRA,277,191.0,SPRF-PR,DEL08-PR,UOP02-DEL08-PR
2444,PE,CUSTODIA,232,343.0,SPRF-PE,DEL04-PE,UOP02-DEL04-PE
2445,PR,TERRA ROXA,272,557.0,SPRF-PR,DEL06-PR,UOP01-DEL06-PR
2446,MG,SAO GONCALO DO RIO ABAIXO,381,355.0,SPRF-MG,DEL03-MG,UOP01-DEL03-MG
2447,SP,ICEM,153,0.0,SPRF-SP,DEL09-SP,UOP01-DEL09-SP
2448,RS,MARQUES DE SOUZA,386,319.0,SPRF-RS,DEL04-RS,UOP01-DEL04-RS
2449,CE,CASCAVEL,116,90.0,SPRF-CE,DEL01-CE,UOP04-DEL01-CE
2450,SP,ATIBAIA,381,36.0,SPRF-SP,DEL03-SP,UOP01-DEL03-SP
2451,SP,UBATUBA,101,52.0,SPRF-SP,DEL06-SP,UOP01-DEL06-SP
2452,SP,VARGEM,381,4.0,SPRF-SP,DEL03-SP,UOP02-DEL03-SP
2453,RJ,GUAPIMIRIM,116,106.0,SPRF-RJ,DEL04-RJ,UOP01-DEL04-RJ
2454,SC,BALNEARIO PICARRAS,101,101.0,SPRF-SC,DEL03-SC,UOP02-DEL03-SC
2455,PE,IGARASSU,101,39.0,SPRF-PE,DEL01-PE,UOP02-DEL01-PE
2456,MG,GUIMARANIA,365,444.0,SPRF-MG,DEL10-MG,UOP01-DEL10-MG
2457,MG,POUSO ALEGRE,381,858.0,SPRF-MG,DEL16-MG,UOP01-DEL16-MG
2458,MG,ESMERALDAS,40,0.0,SPRF-MG,DEL02-MG,UOP01-DEL02-MG
2459,PI,REDENCAO DO GURGUEIA,135,408.0,SPRF-PI,DEL03-PI,UOP02-DEL03-PI
2460,MG,UBERABA,50,166.0,SPRF-MG,DEL13-MG,UOP01-DEL13-MG
2461,MT,GENERAL CARNEIRO,70,88.0,SPRF-MT,DEL07-MT,UOP01-DEL07-MT
2462,RJ,CAMPOS DOS GOYTACAZES,101,61.0,SPRF-RJ,DEL08-RJ,UOP01-DEL08-RJ
2463,PR,CHOPINZINHO,373,0.0,SPRF-PR,DEL02-PR,UOP01-DEL02-PR
2464,MG,TIMOTEO,381,257.0,SPRF-MG,DEL03-MG,UOP01-DEL03-MG
2465,GO,HIDROLANDIA,153,441.0,SPRF-GO,DEL02-GO,UOP01-DEL02-GO
2466,TO,NOVA OLINDA,153,195.0,SPRF-TO,DEL02-TO,UOP01-DEL02-TO
2467,PR,CAMPINA GRANDE DO SUL,116,51.0,SPRF-PR,DEL01-PR,UOP02-DEL01-PR
2468,SC,BRUNOPOLIS,470,270.0,SPRF-SC,DEL07-SC,UOP06-DEL07-SC
2469,BA,VITORIA DA CONQUISTA,116,833.0,SPRF-BA,DEL08-BA,UOP01-DEL08-BA
2470,SC,SAO CRISTOVAO DO SUL,116,0.0,SPRF-SC,DEL05-SC,UOP03-DEL05-SC
2471,MT,JANGADA,364,474.0,SPRF-MT,DEL01-MT,UOP02-DEL01-MT
2472,MG,CAMANDUCAIA,381,0.0,SPRF-MG,DEL16-MG,UOP03-DEL16-MG
2473,SC,NAVEGANTES,470,1.0,SPRF-SC,DEL04-SC,UOP04-DEL04-SC
2474,PA,NOVO PROGRESSO,163,16.0,SPRF-MT,DEL06-MT,UOP03-DEL06-MT
2475,MA,TUNTUM,226,221.0,SPRF-MA,DEL06-MA,UOP01-DEL06-MA
2476,SC,CAPAO ALTO,116,279.0,SPRF-SC,DEL05-SC,UOP02-DEL05-SC
2477,AL,SAO SEBASTIAO,101,200.0,SPRF-AL,DEL02-AL,UOP02-DEL02-AL
2478,MT,NOVA MUTUM,163,624.0,SPRF-MT,DEL01-MT,UOP01-DEL01-MT
2479,CE,PACAJUS,116,54.0,SPRF-CE,DEL01-CE,UOP04-DEL01-CE
2480,MT,CLAUDIA,163,905.0,SPRF-MT,DEL06-MT,UOP02-DEL06-MT
2481,PE,JUPI,423,69.0,SPRF-PE,DEL03-PE,UOP01-DEL03-PE
2482,RJ,RIO DE JANEIRO,101,394.0,SPRF-RJ,DEL03-RJ,UOP01-DEL03-RJ
2483,RO,SAO MIGUEL DO GUAPORE,429,133.0,SPRF-RO,DEL02-RO,UOP03-DEL02-RO
2484,BA,BOA NOVA,116,725.0,SPRF-BA,DEL08-BA,UOP02-DEL08-BA
2485,MS,JARAGUARI,163,511.0,SPRF-MS,DEL01-MS,UOP02-DEL01-MS
2486,PR,TIBAGI,376,421.0,SPRF-PR,DEL03-PR,UOP02-DEL03-PR
2487,MG,NOVA LIMA,40,545.0,SPRF-MG,DEL01-MG,UOP02-DEL01-MG
2488,MG,RUBELITA,251,334.0,SPRF-MG,DEL12-MG,UOP02-DEL12-MG
2489,PR,GENERAL CARNEIRO,153,506.0,SPRF-PR,DEL02-PR,UOP03-DEL02-PR
2490,GO,ITUMBIARA,153,0.0,SPRF-GO,DEL03-GO,UOP02-DEL03-GO
2491,RJ,ITATIAIA,116,317.0,SPRF-RJ,DEL07-RJ,UOP02-DEL07-RJ
2492,MT,ALTO GARCAS,364,0.0,SPRF-MT,DEL02-MT,UOP02-DEL02-MT
2493,PA,ITAITUBA,163,671.0,SPRF-PA,DEL05-PA,UOP02-DEL05-PA
2494,CE,TAUA,20,138.0,SPRF-CE,DEL02-CE,UOP02-DEL02-CE
2495,BA,OLIVEIRA DOS BREJINHOS,242,0.0,SPRF-BA,DEL06-BA,UOP01-DEL06-BA
2496,PE,ARCOVERDE,424,6.0,SPRF-PE,DEL04-PE,UOP02-DEL04-PE
2497,RS,ITAQUI,472,445.0,SPRF-RS,DEL12-RS,UOP01-DEL12-RS
2498,BA,VITORIA DA CONQUISTA,116,15.0,SPRF-BA,DEL08-BA,UOP01-DEL08-BA
2499,SP,ROSEIRA,116,0.0,SPRF-SP,DEL08-SP,UOP01-DEL08-SP
2500,ES,RIO NOVO DO SUL,101,390.0,SPRF-ES,DEL03-ES,UOP02-DEL03-ES
2501,TO,BRASILANDIA DO TOCANTINS,153,0.0,SPRF-TO,DEL02-TO,UOP02-DEL02-TO
2502,PR,QUITANDINHA,116,166.0,SPRF-PR,DEL01-PR,UOP03-DEL01-PR
2503,SC,SAO FRANCISCO DO SUL,280,12.0,SPRF-SC,DEL03-SC,UOP03-DEL03-SC
2504,RJ,RESENDE,116,301.0,SPRF-RJ,DEL07-RJ,UOP02-DEL07-RJ
2505,PR,MAUA DA SERRA,376,310.0,SPRF-PR,DEL07-PR,UOP02-DEL07-PR
2506,SC,RANCHO QUEIMADO,282,56.0,SPRF-SC,DEL01-SC,UOP03-DEL01-SC
2507,ES,JOAO NEIVA,259,0.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES
2508,RJ,BARRA MANSA,116,267.0,SPRF-RJ,DEL07-RJ,UOP02-DEL07-RJ
2509,SC,SANGAO,101,363.0,SPRF-SC,DEL02-SC,UOP01-DEL02-SC
2510,CE,JAGUARIBE,116,325.0,SPRF-CE,DEL05-CE,UOP02-DEL05-CE
2511,GO,NOVA GLORIA,153,274.0,SPRF-GO,DEL07-GO,UOP02-DEL07-GO
2512,MT,BARRA DO GARCAS,70,3.0,SPRF-MT,DEL07-MT,UOP01-DEL07-MT
2513,AL,ATALAIA,316,240.0,SPRF-AL,DEL01-AL,UOP01-DEL01-AL
2514,MA,SAO LUIS,135,20.0,SPRF-MA,DEL01-MA,UOP01-DEL01-MA
2515,RJ,NITEROI,101,320.0,SPRF-RJ,DEL02-RJ,UOP01-DEL02-RJ
2516,GO,BOM JESUS DE GOIAS,452,135.0,SPRF-GO,DEL03-GO,UOP02-DEL03-GO
2517,SP,MAIRIPORA,381,70.0,SPRF-SP,DEL03-SP,UOP01-DEL03-SP
2518,PR,PONTA GROSSA,373,175.0,SPRF-PR,DEL03-PR,UOP01-DEL03-PR
2519,DF,BRASILIA,251,60.0,SPRF-DF,DEL01-DF,UOP01-DEL01-DF
2520,MG,ITAOBIM,116,114.0,SPRF-MG,DEL11-MG,UOP02-DEL11-MG
2521,MG,UBERLANDIA,365,640.0,SPRF-MG,DEL15-MG,UOP01-DEL15-MG
2522,PA,SAO MIGUEL DO GUAMA,10,0.0,SPRF-PA,DEL01-PA,UOP02-DEL01-PA
