sk,id_natural,regional,dt_inicio,dt_fim,flag_atual
245,ALAGOINHAS,SPRF-BA,2026-01-01,,True
246,ATIBAIA,SPRF-SP,2026-01-01,,True
247,PIRACANJUBA,SPRF-GO,2026-01-01,,True
248,PENHA,SPRF-SC,2026-01-01,,True
249,ITAPISSUMA,SPRF-PE,2026-01-01,,True
250,SAO LOURENCO DO SUL,SPRF-RS,2026-01-01,,True
251,TEREZOPOLIS DE GOIAS,SPRF-GO,2026-01-01,,True
252,ALTO PARAISO,SPRF-RO,2026-01-01,,True
253,BREJO SANTO,SPRF-CE,2026-01-01,,True
254,NOVA ITABERABA,SPRF-SC,2026-01-01,,True
255,ELDORADO DO SUL,SPRF-RS,2026-01-01,,True
256,CAMPO REDONDO,SPRF-RN,2026-01-01,,True
257,URUGUAIANA,SPRF-RS,2026-01-01,,True
258,APUCARANA,SPRF-PR,2026-01-01,,True
259,RIBEIRAO,SPRF-PE,2026-01-01,,True
260,GOIANIA,SPRF-GO,2026-01-01,2026-06-26,False
261,GRAJAU,SPRF-MA,2026-01-01,,True
262,ITABELA,SPRF-BA,2026-01-01,,True
263,SOBRAL,SPRF-CE,2026-01-01,,True
264,PORTO ALEGRE,SPRF-RS,2026-01-01,,True
265,WENCESLAU GUIMARAES,SPRF-BA,2026-01-01,,True
266,BURITIZEIRO,SPRF-MG,2026-01-01,,True
267,APIUNA,SPRF-SC,2026-01-01,,True
268,SAO BORJA,SPRF-RS,2026-01-01,,True
269,SAO JOAO DA VARJOTA,SPRF-PI,2026-01-01,,True
270,TIJUCAS DO SUL,SPRF-PR,2026-01-01,,True
271,MARACAJA,SPRF-SC,2026-01-01,,True
272,SANTA CRUZ DO SUL,SPRF-RS,2026-01-01,,True
273,NOVA GRANADA,SPRF-SP,2026-01-01,,True
274,SAO RAIMUNDO DAS MANGABEIRAS,SPRF-MA,2026-01-01,,True
275,XAPURI,SPRF-AC,2026-01-01,,True
276,SAUDADES,SPRF-SC,2026-01-01,,True
277,AMARANTE,SPRF-PI,2026-01-01,,True
278,GRAO MOGOL,SPRF-MG,2026-01-01,,True
279,SENHOR DO BONFIM,SPRF-BA,2026-01-01,,True
280,COMODORO,SPRF-MT,2026-01-01,2026-06-26,False
281,GOVERNADOR VALADARES,SPRF-MG,2026-01-01,,True
282,CACAPAVA,SPRF-SP,2026-01-01,,True
283,ALFREDO WAGNER,SPRF-SC,2026-01-01,,True
284,ITAPERUNA,SPRF-RJ,2026-01-01,,True
285,PALHANO,SPRF-CE,2026-01-01,,True
286,SANTOS DUMONT,SPRF-MG,2026-01-01,,True
287,PARACAMBI,SPRF-RJ,2026-01-01,,True
288,SANTA MARIA,SPRF-RS,2026-01-01,2026-06-26,False
289,GUARULHOS,SPRF-SP,2026-01-01,,True
290,SOLEDADE,SPRF-PB,2026-01-01,2026-06-26,False
291,SAO JOSE DOS PINHAIS,SPRF-PR,2026-01-01,,True
292,ARAXA,SPRF-MG,2026-01-01,,True
293,CAPIM GROSSO,SPRF-BA,2026-01-01,,True
294,PILAR,SPRF-AL,2026-01-01,,True
295,BRUMADINHO,SPRF-MG,2026-01-01,,True
296,IBAITI,SPRF-PR,2026-01-01,,True
297,SAO DESIDERIO,SPRF-BA,2026-01-01,,True
298,BANDEIRANTES,SPRF-MS,2026-01-01,2026-06-26,False
299,SANTO AMARO DA IMPERATRIZ,SPRF-SC,2026-01-01,,True
300,PIMENTA BUENO,SPRF-RO,2026-01-01,,True
301,PICADA CAFE,SPRF-RS,2026-01-01,,True
302,LUZ,SPRF-MG,2026-01-01,,True
303,TEOFILO OTONI,SPRF-MG,2026-01-01,,True
304,DUQUE DE CAXIAS,SPRF-RJ,2026-01-01,,True
305,BOA VISTA DAS MISSOES,SPRF-RS,2026-01-01,,True
306,MINEIROS,SPRF-GO,2026-01-01,,True
307,JEREMOABO,SPRF-BA,2026-01-01,2026-06-26,False
308,MESSIAS,SPRF-AL,2026-01-01,,True
309,SABARA,SPRF-MG,2026-01-01,,True
310,GUARAPUAVA,SPRF-PR,2026-01-01,,True
